NM_173868	ST18
NM_001081209	PRDM14
NM_010678	AFF3
NM_008719	NPAS2
NM_139146	SATB2
NM_033563	KLF7
NM_009952	CREB1
NM_133828	CREB1
NM_001037726	CREB1
NM_011770	IKZF2
NM_008781	PAX3
NM_001159520	PAX3
NM_007855	TWIST2
NM_001081125	GLI2
NM_030676	NR5A2
NM_001159769	NR5A2
NM_011137	POU2F1
NM_198932	POU2F1
NM_033652	LMX1A
NM_183355	PBX1
NM_008783	PBX1
NM_001081304	ATF6
NM_009803	NR1I3
NM_011935	ESRRG
NM_011441	SOX17
NM_008651	MYBL1
NM_010827	MSC
NM_001145660	RFX8
NM_008900	POU3F3
NM_011487	STAT4
NM_009283	STAT1
NM_027661	HSFY2
NM_153111	FEV
NM_175397	SP110
NM_010262	GBX2
NM_019479	HES6
NM_010133	EN1
NM_007923	ELK4
NM_011439	SOX13
NM_031189	MYOG
NM_007921	ELF3
NM_001163131	ELF3
NM_010714	LHX9
NM_001042577	LHX9
NM_001025565	LHX9
NM_172643	ZBTB41
NM_010712	LHX4
NM_173424	ZBTB37
NM_175686	PRRX1
NM_001025570	PRRX1
NM_011127	PRRX1
NM_032005	TBX19
NM_198934	POU2F1
NM_198933	POU2F1
NM_009107	RXRG
NM_001159731	RXRG
NM_009480	USF1
NM_010916	NHLH1
NM_013729	MIXL1
NM_008250	HLX
NM_008937	PROX1
NM_030060	BATF3
NM_007498	ATF3
NM_144814	RCOR3
NM_016851	IRF6
NM_010725	LMX1B
NM_016768	PBX3
NM_010264	NR6A1
NM_015753	ZEB2
NM_009715	ATF2
NM_001025093	ATF2
NM_010468	HOXD3
NM_010125	ELF5
NM_001145813	ELF5
NM_144783	WT1
NM_001159567	MEIS2
NM_001159568	MEIS2
NM_001159569	MEIS2
NM_010825	MEIS2
NM_001136072	MEIS2
NM_001159570	MEIS2
NM_001110513	EBF4
NM_008780	PAX1
NM_001160410	SCRT2
NM_177263	ZHX3
NM_001098799	TOX2
NM_009036	RBPJL
NM_198169	GMEB2
NM_027656	ZBTB46
NM_008665	MYT1
NM_001171615	MYT1
NM_001171616	MYT1
NM_001171680	MYT1
NM_008091	GATA3
NM_018809	PTF1A
NM_011040	PAX8
NM_001001714	SOHLH1
NM_001039653	LHX3
NR_033572	SNAPC4
NM_172339	SNAPC4
NM_011305	RXRA
NM_008114	GFI1B
NM_001160406	GFI1B
NM_001164186	BARHL1
NM_019446	BARHL1
NM_009116	PRRX2
NM_001123362	PRDM12
NM_001085507	ZBTB34
NM_027947	ZBTB43
NM_001025594	ZBTB43
NM_001083127	LHX6
NM_001083126	LHX6
NM_008500	LHX6
NM_001083125	LHX6
NM_146253	ZBTB6
NM_199025	ZBTB26
NM_010710	LHX2
NM_139051	NR5A1
NM_001159548	NR6A1
NM_001159549	NR6A1
NM_001139509	NR4A2
NM_013613	NR4A2
NM_009322	TBR1
NM_022435	SP5
NM_010053	DLX1
NM_010054	DLX2
NM_001018042	SP3
NM_001098425	SP3
NM_001005343	SP9
NM_013555	HOXD9
NM_008276	HOXD8
NM_008275	HOXD13
NM_008273	HOXD11
NM_010469	HOXD4
NM_008274	HOXD12
NM_013554	HOXD10
NM_007967	EVX2
NM_010467	HOXD1
NM_010902	NFE2L2
NM_010894	NEUROD1
NM_013839	NR1H3
NM_001177730	NR1H3
NM_011957	CREB3L1
NM_007442	ALX4
NM_007914	EHF
NM_013627	PAX6
NM_013720	MGA
NM_001164274	MGA
NM_178889	ZSCAN29
NM_026924	OVOL2
NM_152947	OVOL2
NM_016889	INSM1
NM_023504	NKX2-4
NM_010919	NKX2-2
NM_001077632	NKX2-2
NM_010446	FOXA2
NM_028986	GZF1
NM_054068	VSX1
NM_009328	TCF15
NM_011438	SOX12
NM_010495	ID1
NM_010226	FOXS1
NM_018807	PLAGL2
NM_007891	E2F1
NM_010658	MAFB
NM_008652	MYBL2
NM_008261	HNF4A
NM_011427	SNAI1
NM_009883	CEBPB
NM_009628	ADNP
NM_010899	NFATC2
NM_001037178	NFATC2
NM_001037177	NFATC2
NM_001136073	NFATC2
NM_201395	SALL4
NM_175303	SALL4
NM_201396	SALL4
NM_009564	ZFP64
NM_008093	GATA5
NM_178254	TCFL5
NM_080641	BHLHE23
NM_028125	ZBTB46
NM_009236	SOX18
NM_030708	ZFHX4
NM_008689	NFKB1
NM_013920	HNF4G
NM_021560	BHLHE22
NM_021442	MECOM
NM_007963	MECOM
NM_023502	ELF2
NM_133665	MEF2D
NM_030080	CREB3L4
NM_017395	RFX5
NM_009709	ARNT
NM_001037737	ARNT
NM_009323	TBX15
NM_010423	HEY1
NM_177660	ZBTB10
NM_007892	E2F5
NM_030557	MYNN
NM_011443	SOX2
NM_019739	FOXO1
NM_019483	SMAD9
NM_028937	SOHLH2
NM_001081229	TSC22D2
NM_013665	SHOX2
NM_001083318	ETV3
NM_012051	ETV3
NM_009565	ZBTB7B
NM_011281	RORC
NM_178777	NHLH2
NM_007441	ALX3
NM_009718	NEUROG2
NM_011098	PITX2
NM_001042504	PITX2
NM_001042502	PITX2
NM_010703	LEF1
NM_001080755	ZZZ3
NM_198416	ZZZ3
NM_010713	LHX8
NM_001166021	CAMTA1
NM_001081557	CAMTA1
NM_001109661	BACH2
NM_009554	ZFP37
NM_010905	NFIA
NM_001122952	NFIA
NM_001122953	NFIA
NM_010657	HIVEP3
NM_001085492	RERE
NM_008782	PAX5
NM_001113209	NFIB
NM_008687	NFIB
NM_001113210	NFIB
NM_172870	BNC2
NM_147221	GLIS1
NM_130865	DMBX1
NM_001025567	DMBX1
NM_172699	FOXJ3
NM_008692	NFYC
NM_001048168	NFYC
NM_008636	MTF1
NM_145833	LIN28A
NM_001080819	ARID1A
NM_198248	ZBTB40
NM_011039	PAX7
NM_001081355	PRDM2
NM_027504	PRDM16
NM_001177995	PRDM16
NM_019969	PLAG1
NM_001080771	PRDM13
NM_008899	POU3F2
NM_023739	NFX1
NM_013497	CREB3
NM_183298	FOXE1
NM_015743	NR4A3
NM_009317	TAL2
NM_010637	KLF4
NM_175647	DMRTA1
NM_010591	JUN
NM_010425	FOXD3
NM_019872	DMRTB1
NM_172296	DMRTA2
NM_015758	FOXE3
NM_008593	FOXD2
NM_011527	TAL1
NM_029416	KLF17
NM_011732	YBX1
NM_194060	FOXO6
NM_001005788	ZFP69
NM_013905	HEYL
NM_011141	POU3F1
NM_177758	ZSCAN20
NM_028603	ZBTB8A
NM_001122992	GMEB1
NM_020273	GMEB1
NM_019732	RUNX3
NM_001013756	GRHL3
NM_008321	ID3
NM_177733	E2F2
NM_009541	ZBTB17
NM_001195565	CAMTA1
NM_133879	ZBTB48
NM_008236	HES2
NM_008237	HES3
NM_010419	HES5
NM_178142	LCORL
NM_172153	LCORL
NM_001163073	LCORL
NM_001177884	WHSC1
NM_175231	WHSC1
NM_001081102	WHSC1
NM_001080928	RBPJ
NM_009035	RBPJ
NM_001080927	RBPJ
NM_007715	CLOCK
NM_011537	TBX5
NM_007804	CUX2
NM_177582	MLXIP
NM_133917	MLXIP
NM_029869	ZKSCAN1
NM_133906	ZKSCAN1
NM_011806	DMTF1
NM_001110327	DMTF1
NM_015739	GBX1
NM_010134	EN2
NM_019944	MNX1
NM_016703	PREB
NM_008037	FOSL2
NM_010753	MXD4
NM_010445	HMX1
NM_010835	MSX1
NM_029162	ZBTB49
NM_007524	NKX3-2
NM_008453	KLF3
NM_008888	PHOX2B
NM_133921	NFXL1
NM_133256	GSX2
NM_175606	HOPX
NM_001159901	HOPX
NM_001159900	HOPX
NM_011263	REST
NM_029947	PRDM8
NM_144955	NKX6-1
NM_001005477	BARHL2
NM_010278	GFI1
NM_148935	FOXN4
NM_009327	HNF1A
NM_011535	TBX3
NM_198052	TBX3
NM_008499	LHX5
NM_023910	TSC22D4
NM_011757	ZSCAN21
NM_001044705	ZSCAN21
NM_001044704	ZSCAN21
NM_001044703	ZSCAN21
NM_013702	UNCX
NM_010757	MAFK
NM_199068	FOXK1
NM_001045482	RBAK
NM_021326	RBAK
NM_010800	BHLHA15
NM_001167944	ZKSCAN5
NM_016683	ZKSCAN5
NM_008178	GSX1
NM_008814	PDX1
NM_007673	CDX2
NM_007961	ETV6
NM_001127330	PPARG
NM_010057	DLX6
NM_212435	FOXP2
NM_053242	FOXP2
NM_010938	NRF1
NM_001164228	NRF1
NM_001164227	NRF1
NM_001164226	NRF1
NM_001164230	NRF1
NM_178661	CREB3L2
NM_130869	NOBOX
NM_010455	HOXA7
NM_172728	CREB5
NM_027547	PRDM5
NM_009332	TCF7L1
NM_001079822	TCF7L1
NM_001178049	MITF
NM_001113198	MITF
NM_053202	FOXP1
NM_001197322	FOXP1
NM_001197321	FOXP1
NM_001080979	TEAD4
NM_011567	TEAD4
NM_008021	FOXM1
NM_001113559	SOX5
NM_011444	SOX5
NM_198854	DLX5
NM_010056	DLX5
NM_028462	FEZF1
NM_001159925	PAX4
NM_001159926	PAX4
NM_011038	PAX4
NM_012057	IRF5
NM_001164229	NRF1
NM_001135093	KLF14
NM_010903	NFE2L3
NM_010449	HOXA1
NM_010451	HOXA2
NM_010454	HOXA6
NM_010452	HOXA3
NM_010453	HOXA5
NM_008265	HOXA4
NM_007966	EVX1
NM_010450	HOXA11
NM_008264	HOXA13
NM_008263	HOXA10
NM_001122950	HOXA10
NM_010456	HOXA9
NM_009717	NEUROD6
NM_007500	ATOH1
NM_009392	TLX2
NM_010692	LBX2
NM_011912	VAX2
NM_010131	EMX1
NM_001007472	NOTO
NM_020596	EGR4
NM_012013	FIGLA
NM_010751	MXD1
NM_008090	GATA2
NM_023184	KLF15
NM_030260	ZXDC
NM_173002	ZXDC
NM_011630	NR2C2
NM_008601	MITF
NM_011498	BHLHE40
NM_011146	PPARG
NM_028016	NANOG
NM_021899	FOXJ2
NM_177687	CREBL2
NM_009637	AEBP2
NM_178803	AEBP2
NM_001005605	AEBP2
NM_024469	BHLHE41
NM_172309	ARNTL2
NM_145819	MZF1
NM_001033713	MEF2A
NM_011445	SOX6
NM_001025559	SOX6
NM_001025560	SOX6
NM_172298	TSHZ3
NM_021366	KLF13
NM_007488	ARNT2
NM_001166584	TEAD1
NM_007489	ARNTL
NM_009346	TEAD1
NM_001166585	TEAD1
NM_175115	IKZF5
NM_001113414	EBF3
NM_001113415	EBF3
NM_010096	EBF3
NR_027769	DEAF1
NR_027770	DEAF1
NM_016874	DEAF1
NM_001110328	FIZ1
NM_001110329	FIZ1
NM_011813	FIZ1
NM_001110330	FIZ1
NM_175247	ZFP28
NM_008817	PEG3
NR_036631	ZIM3
NM_009577	ZIK1
NM_001017955	ZSCAN18
NM_001001447	ZSCAN22
NM_001024699	ZBTB45
NM_007770	CRX
NM_001113330	CRX
